Drone ID,Timestamp,Latitude,Longitude,Altitude,Speed,Direction,Signal Strength,Known
D777,2025-04-12 03:38:35,34.006,-118.7679,118,51,NE,-76,False
D052,2025-04-12 03:38:35,34.2991,-118.9531,56,43,SW,-55,False
D776,2025-04-12 03:38:35,34.909,-118.1613,145,21,W,-69,True
D223,2025-04-12 03:38:35,34.996,-118.3075,89,68,NE,-65,True
D322,2025-04-12 03:38:35,34.1355,-118.3123,65,38,NW,-72,True
D543,2025-04-12 03:38:35,34.7486,-118.9538,75,36,NW,-71,True
D467,2025-04-12 03:38:35,34.9069,-118.1808,77,37,S,-60,False
D794,2025-04-12 03:38:35,34.5592,-118.8142,72,37,N,-71,False
D292,2025-04-12 03:38:35,34.0595,-118.7558,103,62,NW,-69,True
D541,2025-04-12 03:38:35,34.8396,-118.8003,147,36,W,-79,False
D044,2025-04-12 03:38:35,34.3121,-118.7583,87,32,NE,-51,True
D126,2025-04-12 03:38:35,34.6814,-118.8803,123,58,SW,-79,True
D374,2025-04-12 03:38:35,34.6518,-118.4533,147,28,SE,-55,False
D720,2025-04-12 03:38:35,34.1795,-118.7859,98,20,W,-52,True
D738,2025-04-12 03:38:35,34.1389,-118.5592,102,21,E,-50,False
D389,2025-04-12 03:38:35,34.6389,-118.7658,149,23,SW,-61,True
D596,2025-04-12 03:38:35,34.6926,-118.7974,84,54,S,-67,False
D892,2025-04-12 03:38:35,34.0863,-118.4217,61,69,SW,-59,True
D541,2025-04-12 03:38:35,34.7961,-118.7549,56,76,E,-77,False
D777,2025-04-12 03:38:35,34.7403,-118.7123,107,20,W,-52,False
D837,2025-04-12 03:38:35,34.1159,-118.5869,60,45,SW,-66,False
D603,2025-04-12 03:38:35,34.1843,-118.0821,116,65,NW,-59,True
D840,2025-04-12 03:38:35,34.312,-118.1694,79,57,NW,-63,True
D037,2025-04-12 03:38:35,34.8897,-118.6331,67,56,E,-76,False
D043,2025-04-12 03:38:35,34.8796,-118.1932,53,30,NE,-80,True
D577,2025-04-12 03:38:35,34.0203,-118.0172,92,64,NW,-73,True
D446,2025-04-12 03:38:35,34.1909,-118.72,131,36,N,-58,True
D302,2025-04-12 03:38:35,34.986,-118.0955,106,65,N,-59,True
D518,2025-04-12 03:38:35,34.423,-118.4893,83,54,SW,-67,True
D125,2025-04-12 03:38:35,34.9545,-118.6715,108,32,NW,-72,False
D058,2025-04-12 03:38:35,34.4958,-118.1269,96,22,N,-56,True
D035,2025-04-12 03:38:35,34.6458,-118.8024,103,47,W,-72,False
D906,2025-04-12 03:38:35,34.958,-118.3626,81,63,W,-67,True
D607,2025-04-12 03:38:35,34.7254,-118.2132,65,51,N,-62,False
D592,2025-04-12 03:38:35,34.7443,-118.0541,98,78,NW,-75,True
D999,2025-04-12 03:38:35,34.8455,-118.4834,127,31,SW,-66,False
D194,2025-04-12 03:38:35,34.729,-118.9058,131,22,W,-52,True
D650,2025-04-12 03:38:35,34.2825,-118.971,96,76,N,-72,False
D958,2025-04-12 03:38:35,34.5744,-118.0923,102,48,N,-60,False
D751,2025-04-12 03:38:35,34.3033,-118.7285,141,68,NE,-80,True
D517,2025-04-12 03:38:35,34.3123,-118.4125,67,61,S,-73,True
D557,2025-04-12 03:38:35,34.9119,-118.6984,140,73,N,-73,True
D171,2025-04-12 03:38:35,34.2373,-118.0326,85,54,SE,-56,True
D929,2025-04-12 03:38:35,34.1021,-118.2065,128,43,SW,-61,True
D930,2025-04-12 03:38:35,34.6004,-118.3978,85,28,SE,-63,False
D152,2025-04-12 03:38:35,34.9715,-118.2549,76,29,NE,-65,False
D385,2025-04-12 03:38:35,34.4407,-118.3313,123,40,S,-60,True
D565,2025-04-12 03:38:35,34.6501,-118.0996,111,40,SE,-65,True
D149,2025-04-12 03:38:35,34.0195,-118.8492,130,75,S,-60,False
D756,2025-04-12 03:38:35,34.8269,-118.842,63,52,W,-78,True
D278,2025-04-12 03:38:35,34.0947,-118.2441,111,51,S,-67,False
D814,2025-04-12 03:38:35,34.0819,-118.8263,95,54,SW,-63,True
D147,2025-04-12 03:38:35,34.9531,-118.3693,85,74,S,-53,False
D672,2025-04-12 03:38:35,34.038,-118.5024,137,55,SE,-66,True
D377,2025-04-12 03:38:35,34.9251,-118.3631,115,49,N,-69,False
D596,2025-04-12 03:38:35,34.6309,-118.592,147,48,SW,-51,True
D458,2025-04-12 03:38:35,34.6384,-118.2016,140,44,SE,-69,False
D568,2025-04-12 03:38:35,34.0745,-118.7233,139,48,NE,-69,False
D360,2025-04-12 03:38:35,34.7408,-118.0041,52,68,NE,-72,True
D662,2025-04-12 03:38:35,34.3009,-118.2895,133,72,S,-60,True
D778,2025-04-12 03:38:35,34.1636,-118.9713,131,39,SW,-61,True
D033,2025-04-12 03:38:35,34.8136,-118.88,65,21,E,-57,True
D406,2025-04-12 03:38:35,34.2547,-118.6786,77,79,SE,-75,False
D441,2025-04-12 03:38:35,34.903,-118.3517,101,24,NE,-67,False
D066,2025-04-12 03:38:35,34.2099,-118.2859,136,42,E,-71,False
D786,2025-04-12 03:38:35,34.7347,-118.1734,130,59,SW,-60,True
D553,2025-04-12 03:38:35,34.9759,-118.5318,54,35,NE,-73,True
D760,2025-04-12 03:38:35,34.0433,-118.3801,121,29,NE,-61,False
D921,2025-04-12 03:38:35,34.9907,-118.8152,56,52,NW,-79,True
D170,2025-04-12 03:38:35,34.9872,-118.2813,106,59,NE,-71,True
D265,2025-04-12 03:38:35,34.6189,-118.7822,123,37,NE,-78,False
